id,quote_id,fee_type,amount,currency,description
1,1,base_cost,6800,USD,基础运输成本
2,1,fuel_surcharge,850,USD,燃油附加费
3,1,handling_fee,425,USD,操作费
4,1,documentation_fee,425,USD,文件费
5,2,base_cost,7360,USD,基础运输成本
6,2,fuel_surcharge,920,USD,燃油附加费
7,2,handling_fee,460,USD,操作费
8,2,documentation_fee,460,USD,文件费
9,3,base_cost,6240,USD,基础运输成本
10,3,fuel_surcharge,780,USD,燃油附加费
11,3,handling_fee,390,USD,操作费
12,3,documentation_fee,390,USD,文件费
13,4,base_cost,3600,USD,基础运输成本
14,4,fuel_surcharge,450,USD,燃油附加费
15,4,handling_fee,225,USD,操作费
16,4,documentation_fee,225,USD,文件费
17,5,base_cost,2240,USD,基础运输成本
18,5,fuel_surcharge,280,USD,燃油附加费
19,5,handling_fee,140,USD,操作费
20,5,documentation_fee,140,USD,文件费
21,6,base_cost,2400,USD,基础运输成本
22,6,fuel_surcharge,300,USD,燃油附加费
23,6,handling_fee,150,USD,操作费
24,6,documentation_fee,150,USD,文件费
25,11,base_cost,9600,USD,基础运输成本
26,11,fuel_surcharge,1200,USD,燃油附加费
27,11,handling_fee,600,USD,操作费
28,11,documentation_fee,600,USD,文件费
29,12,base_cost,10800,USD,基础运输成本
30,12,fuel_surcharge,1350,USD,燃油附加费
31,12,handling_fee,675,USD,操作费
32,12,documentation_fee,675,USD,文件费
33,25,base_cost,8800,USD,基础运输成本
34,25,fuel_surcharge,1100,USD,燃油附加费
35,25,handling_fee,550,USD,操作费
36,25,documentation_fee,550,USD,文件费
37,25,temperature_control_fee,1000,USD,温控费用
38,26,base_cost,10000,USD,基础运输成本
39,26,fuel_surcharge,1250,USD,燃油附加费
40,26,handling_fee,625,USD,操作费
41,26,documentation_fee,625,USD,文件费
42,26,temperature_control_fee,1000,USD,温控费用
43,29,base_cost,7200,USD,基础运输成本
44,29,fuel_surcharge,900,USD,燃油附加费
45,29,handling_fee,450,USD,操作费
46,29,documentation_fee,450,USD,文件费
47,29,dangerous_goods_fee,1000,USD,危险品处理费
48,30,base_cost,7760,USD,基础运输成本
49,30,fuel_surcharge,970,USD,燃油附加费
50,30,handling_fee,485,USD,操作费
51,30,documentation_fee,485,USD,文件费
52,30,dangerous_goods_fee,1000,USD,危险品处理费
53,37,base_cost,5600,USD,基础运输成本
54,37,fuel_surcharge,700,USD,燃油附加费
55,37,handling_fee,350,USD,操作费
56,37,documentation_fee,350,USD,文件费
57,37,valuable_goods_fee,1000,USD,贵重物品处理费
58,38,base_cost,6160,USD,基础运输成本
59,38,fuel_surcharge,770,USD,燃油附加费
60,38,handling_fee,385,USD,操作费
61,38,documentation_fee,385,USD,文件费
62,38,valuable_goods_fee,1000,USD,贵重物品处理费
63,39,base_cost,8400,USD,基础运输成本
64,39,fuel_surcharge,1050,USD,燃油附加费
65,39,handling_fee,525,USD,操作费
66,39,documentation_fee,525,USD,文件费
67,39,oversized_cargo_fee,2000,USD,大型货物处理费
68,40,base_cost,8960,USD,基础运输成本
69,40,fuel_surcharge,1120,USD,燃油附加费
70,40,handling_fee,560,USD,操作费
71,40,documentation_fee,560,USD,文件费
72,40,oversized_cargo_fee,2000,USD,大型货物处理费 
